unit	doc_id	source	page	signals	snippet
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	21	2	complementary dimension, such that the intersection index between  $C$  and  $C'$  does not vanish.  But the e
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	23	2	every moment in topology. (I suspect, geometric, even worse, some algebraic topologists think of cycles while 
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	27	3	Let  $U^\perp \rightarrow X$  be the oriented normal bundle of  $X$  with the orientation induced by those of 
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	29	3	have two closely related attractive features: their tangent bundles admit natural *flat connections* and their
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	32	4	Finally, we compute all  $L$ -classes  $L_j(T_{2k}) = (L(U^-))^{k+1}$  for  $T_{2k} = T(\mathbb{C}P^{2k})$  an
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	34	3	$q_{\pm}^{i-1}(q_{\pm}^i(X)) = 0$ , *i.e. i-manifolds represent i-cycles in this complex.*  Furthermore, it is
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	35	5	mentioned at the end of the previous section.  It seems not hard to show that *all* Pontryagin numbers can be
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	36	7	Suppose  $X$  is bordant to zero and consider all compact Riemannian  $(n+1)$ -manifolds  $Y$  extending  $X =
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	37	2	Pontryagin number  $p_1$  (i.e. the value of the Pontryagin class  $p_1 \in H^4(S^4)$  on  $[S^4] \in H_4(S^4)
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	38	2	smooth structures compatible with these triangulations since their combinatorial Pontryagin numbers (defined b
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	39	4	group of spheres, denoted  $J_n \subset \pi_n^{st} = \pi_{n+N}(S^N)$ ,  $N \gg n$  (and called the *image of t
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	40	3	But from a differential topologist's point of view the most interesting is the space of *smooth embeddings*  $
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	43	2	Let  $f_t : X \rightarrow Y$ ,  $t \in [0, 1]$ , be a smooth generic homotopy which disengages  $X'$  from  $X
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	44	4	**Haefliger Lemma** (Whitney for  $k + k' = n$ ). Let the dimensions  $n - k' = \dim(X')$  and  $n - k'' = \di
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	45	7	sion constrain by an inductive application of the Whitney-Haefliger disengaging procedure, since obstructions/
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	50	2	## 9 Manifolds under Surgery.  The Atiyah-Thom construction and Serre's theory allows one to produce "arbitrar
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	51	4	pullback”  $X$  of  $X_0 \subset V_0$  (see section 3) does the job as it was done in section 5 for Thom’s bor
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	52	3	equivalence – the homology homomorphism induced by  $f$   $$f_{*i} : H_i(X_1) \rightarrow H_i(X_0),$$  is, as
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	53	3	Since the spheres  $S^k \subset X$  with  $[S^k] \in \ker_k$  have trivial *stable* normal bundles  $U^\perp$ 
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	54	3	But this does not tells you much about "topologically interesting"  $\Gamma$ , e.g. fundamental groups of  $n$
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	55	2	a homology class in Atiyah's  $K$ -theory – the index of  $D_{sig}$ , twisted with vector bundles over  $X$  w
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	56	6	arbitrary closed manifold  $Y$  with *contractible* universal covering. (This would imply, in particular, that
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	57	6	every leaf in  $X$  has measure zero.  What is the counterpart to the Browder-Novikov theory for measurable fo
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	60	4	Conversely, let  $M \rightarrow N$  be a map of non-zero degree. When is the corresponding map  $f^\Gamma : M^
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	63	3	# 13 Bibliography.  ## References  - [1] P. Akhmet'ev, Geometric approach to stable homotopy groups of spheres
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	65	2	- [33] A. Haefliger, Plongements differentiables de variétés dans variétés, Comment. Math. Helv. 36, 47-82, (1
bio-dimensions	05	manifolds-Poincare-Oct1-10/manifolds-Poincare-Oct1-10.md	67	2	- [67] V. Rokhlin, A. Schwarz, The combinatorial invariance of Pontryagin classes, Dokl. Akad Nauk SSSR, 114, 
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	4	2	![]()  The diffraction of X-rays delivers *only the amplitude* of the Fourier transform of the electron densit
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	5	5	(Dmitri Ivanovski in 1892 provided evidence for a non-bacterial agent affecting tobacco plants which remained 
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	10	3	unclear.  Is there a meaningful picture for extremal arrangements of "rods" along  $S$ , where the "essential
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	11	2	is quite high ( $100^{\circ}\text{C} \approx 373\text{K}$ ) compared to other substances of comparable and eve
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	12	3	spatially arranged in a particular *globin* (supersecondary) pattern, which incorporates a *heme group* that i
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	16	3	![]()  ![]()  A molecule of water is removed from two glycine amino acids to form a peptide bond.  ![]()  (or
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	17	3	residues held together by weak forces further stabilized by three covalent S-S bonds between Sulfur atoms in t
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	19	4	![]()  A typical helix contains about ten amino acids (about three turns) but some may have over forty residue
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	20	2	![]()  One still lacks a comprehensive formal language for describing such structures as was emphatically poin
bio-dimensions	06	proteins-crystals-isoperimetry/proteins-crystals-isoperimetry.md	29	2	- [14] Larry Guth, Minimax problems related to cup powers and Steenrod squares, GAFA 2009, to appear. - [15] W 
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	5	4	Of course, nontrivial structures can be found by a learning system, (be it universal or specialized) only in "
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	7	5	bug's "freedom".  Thus, an ergo-brain comes to "understand" the world by "trying to maximize" its "predictive
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	8	5	Egomind is "real", large and *structurally shallow*. Most (all) of what we know of egomind is expressible in *
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	9	4	a bound is likely to apply to all signal processing by the ergobrain.  For instance, this  $N_o$  for (the rul
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	14	3	![](_page_13_Picture_12.jpeg)  Majority of stars do not turn to supernovae. For instance the life expectancy o
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	15	5	*Mathematics* is the tool and the language for a study of ergo-structures where the latter are "just" particul
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	18	4	*Ego and Ergo in Play.* The drive *to win* originates in ego, but "winning/loosing" is, structurally speaking,
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	19	2	And an avalanche of superlatives that music lovers pour on you when they speak of music<sup>26</sup> tells you
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	22	5	hard to accept, such as the second law of Newton that presents a manifestly mathematical (ergo)way of thinking
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	25	6	![](_page_24_Picture_11.jpeg)  A child language acquisition works fine *without* supervision. In fact, a press
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	31	3	imaginable means; the pertinacious resistance of our ego-minds, both of the reader and of the writer of these 
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	32	3	This structure may appear as intricate and as difficult to understand as emergence and evolution of *live stru
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	33	3	other chimpanzee and in order to get the plate with more gumdrops for itself. Instead, the chimpanzee insisted
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	34	9	And when the subject crosses the wall and enters the internal ergoworld, he/she becomes unable to (ego)communi
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	36	5	## 2 Mathematics and its Limits.  ### 2.1 What Kind of Mathematics?  The signals entering the ergobrain via vi
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	40	5	![](_page_39_Diagram_18.jpeg)  (Unbelievably, as recently as at the beginning of the 20th century, Florian Caj
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	46	5	something new and unusual in a familiar surrounding, e.g. a particular smell, which, probably, can be quantifi
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	48	4	![](_page_47_Picture_13.jpeg)  ![](_page_47_Picture_14.jpeg)  A plausible (ergo)brain's strategy for *learning
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	49	4	![](_page_48_Picture_22.jpeg)  But a little structure helps:  ![](_page_48_Diagram_24.jpeg)  if perceived, the
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	53	4	Emanation of the "miraculous decision power of random" intoxicates a gambler's ergo.<sup>80</sup>  The first(?
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	54	4	![](_page_53_Picture_20.jpeg)  Formulation of basic probabilistic concepts is usually attributed to Pascal and
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	58	5	their structures.  1. *Spoken language* depends on the auditory and sensory-motor systems; ears to listen and
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	64	4	![](_page_63_Picture_20.jpeg)  ![](_page_63_Picture_21.jpeg)  2. SIMILARITY, EQUIVALENCE, EQUALITY, SAMENESS.
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	65	8	the composition  $f \circ g$  of two "strong similarities"  $f$  and  $g$  is itself a "weak similarity".  Als
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	66	5	as *composition*  $$r_{13} = r_{12} \circ r_{23},$$  then reductions between texts can be regarded as *morphis
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	67	3	The only aspect of this reconstruction we shall discuss is what can be expressed as an *annotation* to  $F$ . 
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	69	6	![](_page_68_Picture_16.jpeg)  one has not even a whiff of knowledge of the semantic and the function of this
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	70	4	Scents, unlike images and sounds that can be written and rewritten on a variety of backgrounds, are supported 
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	71	3	Matching records constitute a *subcategory* of  $\mathcal{PT}$ , denoted  $\mathcal{MR}$ . This  $\mathcal{MR}
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	72	2	![](_page_71_Picture_18.jpeg)  *Ergo-irrelevant(?) Definitions of Geometric Transformations.* If  $d > 1$ , th
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	73	5	sent by motor neurons to your skeletal muscles in these positions, but each of us has such a library in the br
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	74	4	banana attached to the ceiling. Also there is a string hanging from banana with a loop at the hight 2m.  What
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	75	3	![](_page_74_Picture_11.jpeg)  *change* of colors as you go from one location to the other, rather than the co
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	76	2	unlike the bug, can make fast large moves.) But then it becomes bored at this repetitiveness of signals, until
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	78	5	![](_page_77_Figure_8.jpeg)  Wikipedia, also see [?])  Thus various degrees of “interest/amusement” and “ surp
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	79	9	only rely on introspection.  Many of us have experienced an uncomfortable feeling when a lecturer shows slides
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	80	6	from metabolic and regulatory networks in living cells up to, possibly, ecological networks.  Learning from th
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	84	3	An essential feature, one may say the *signature* of a  $U$ , is its space/time characteristics:  $U$  is much
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	86	5	Operating with tiny sets, e.g. composed of four uterings – alarm calls of vervet monkeys and with corresponden
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	88	8	(There are many different answers to the questions "What is meaning?", "What is understanding?" offered by lin
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	90	5	(static) records of games and how much a benevolent and dynamic chess teacher would help. You soon realize tha
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	96	6	where, a priori, *PRO* can be applied to "understandings" *U* that were not necessarily built by this *PRO*.  
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	97	5	## 6.2 From Libraries to Dictionaries.  The essential role of a dictionary  $D$  of a language  $\mathcal{L}$
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	98	3	some people, such as Albert Sidney Hornby<sup>164</sup> and Gilbert Taggart.<sup>165</sup>  But unlike to how
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	99	4	For instance, if a sentence starts with "*There are more ... in ...*" one may rightly expect "*than in*" comin
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	100	3	up to 50-100 letter-signs) as well as attaching *tags* or *names* to some of these fragments.  Tagging may be
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	101	2	$n^{10}$  for  $n$  being the number of symbol-words in a language.<sup>173</sup> As for  $L$  one might thing
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	102	4	### CATEGORIES $\mathcal{C}^{\rightarrow\downarrow}$ AND DIAGRAMS $\mathcal{D}^{\rightarrow\downarrow}$ OF ANN
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	103	3	## 7.4 Fragmentation, Segmentation and Formation of Units.  Certain fragments of incoming signals<sup>177</sup
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	105	4	where  $N_L(s)$  and  $N_L(st)$  denote the numbers of occurrences of the strings  $s$  and of  $st$  respecti
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	106	3	{yes, no, maybe}, {we, us, our}, {big, large, huge}, {smelly, tasty, crunchy}. are kind of "outlines" of such 
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	109	5	And  $Part_2$ -classes are obtained by further subdividing words into "parts of speech".  **2: Classifications
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	113	6	![](_page_112_Picture_25.jpeg)  This does not preclude, however, an approach with a quite different, possibly
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	114	6	![](_page_113_Picture_14.jpeg)  Unlike logicians, students of the egomind search for the meaning of chess in a
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	115	4	puters that are programmed, among other things, to guess and to imitate each other's mental computations.  "Co
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	116	3	where "complicated" computable functions are successively built from "simple modules" by composing these "modu
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	118	3	![](_page_117_Picture_16.jpeg)  proof of DPRM to the solvability problem for an equation  $P_{new}(x_1, \dots,
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	120	2	![](_page_119_Picture_20.jpeg)  $y \boxplus 0 = 0 \boxplus y$  for all  $y \in Y$ , $y \boxtimes 0 = 0 \bo
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	121	3	but depicting computation by *one dimensional strings* is an artifact of the way we speak and write<sup>219</s
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	123	4	---  three. (This, apparently, was one of Leibniz' motivations for introducing these  $\wedge$  and  $\vee$ .)
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	128	3	"game" if there is no restriction on the number of states  $x$  of cells, but... it is hard (impossible?) to f
cognition-a	01	mathematic of mental processes./ergo-new-21-apr-2015 copy/mathematic of mental processes./ergo-new-21-apr-2015 copy.md	130	4	(This localization is exactly what turns a general cellular automaton into a "bug".)  #### EVENTUALIZATION.  T
cognition-a	02	mathematic of mental processes./ergobrain-web-june2013 copy/mathematic of mental processes./ergobrain-web-june2013 copy.md	1	2	# Structures, Learning and Ergosystems: Chapters 1-4, 6.  Misha Gromov  December 30, 2011  ## Contents  | <b>1
cognition-a	02	mathematic of mental processes./ergobrain-web-june2013 copy/mathematic of mental processes./ergobrain-web-june2013 copy.md	2	3	| 3.9      | Dimensions of Motion. . . . .                                     | 98         | |----------|----
cognition-a	02	mathematic of mental processes./ergobrain-web-june2013 copy/mathematic of mental processes./ergobrain-web-june2013 copy.md	3	4	![](_page_2_Picture_9.jpeg)  not the faintest elements of the visual - having, for instance, nothing of "dista
cognition-a	02	mathematic of mental processes./ergobrain-web-june2013 copy/mathematic of mental processes./ergobrain-web-june2013 copy.md	5	4	![](_page_4_Diagram_9.jpeg)  except for a metaphorical usage of the words.  *Goal Free Learning.* The ergobrai
cognition-a	02	mathematic of mental processes./ergobrain-web-june2013 copy/mathematic of mental processes./ergobrain-web-june2013 copy.md	12	4	but their number is dwarfed by the the ratio of the number of nonfunctional programs of animal behavior to the
